File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note,
06130001.JPG,,SC10_JulAug2021,13-Jun-2021,10:55:14,Ok,false,true,,0,,0,false,false,false,false,false,,
06130002.JPG,,SC10_JulAug2021,13-Jun-2021,10:56:11,Ok,false,true,,0,,0,false,false,false,false,false,,
06130003.JPG,,SC10_JulAug2021,13-Jun-2021,10:57:10,Ok,false,true,,0,,0,false,false,false,false,false,,
06130004.JPG,,SC10_JulAug2021,13-Jun-2021,11:24:23,Ok,true,false,,0,,0,false,false,false,false,false,,
06130005.JPG,,SC10_JulAug2021,13-Jun-2021,11:27:49,Ok,true,false,,0,,0,false,false,false,false,false,,
06130006.JPG,,SC10_JulAug2021,13-Jun-2021,11:31:31,Ok,true,false,,0,,0,false,false,false,false,false,,
06130007.JPG,,SC10_JulAug2021,13-Jun-2021,11:37:18,Ok,true,false,,0,,0,false,false,false,false,false,,
06130008.JPG,,SC10_JulAug2021,13-Jun-2021,11:41:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06130009.JPG,,SC10_JulAug2021,13-Jun-2021,11:42:40,Ok,true,false,,0,,0,false,false,false,false,false,,
06130010.JPG,,SC10_JulAug2021,13-Jun-2021,11:46:14,Ok,true,false,,0,,0,false,false,false,false,false,,
06130011.JPG,,SC10_JulAug2021,13-Jun-2021,11:49:27,Ok,true,false,,0,,0,false,false,false,false,false,,
06130012.JPG,,SC10_JulAug2021,13-Jun-2021,11:53:16,Ok,true,false,,0,,0,false,false,false,false,false,,
06130013.JPG,,SC10_JulAug2021,13-Jun-2021,11:56:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06130014.JPG,,SC10_JulAug2021,13-Jun-2021,12:03:30,Ok,true,false,,0,,0,false,false,false,false,false,,
06130015.JPG,,SC10_JulAug2021,13-Jun-2021,12:04:30,Ok,true,false,,0,,0,false,false,false,false,false,,
06130016.JPG,,SC10_JulAug2021,13-Jun-2021,12:07:24,Ok,true,false,,0,,0,false,false,false,false,false,,
06130017.JPG,,SC10_JulAug2021,13-Jun-2021,12:08:40,Ok,true,false,,0,,0,false,false,false,false,false,,
06130018.JPG,,SC10_JulAug2021,13-Jun-2021,12:10:02,Ok,true,false,,0,,0,false,false,false,false,false,,
06130019.JPG,,SC10_JulAug2021,13-Jun-2021,12:13:58,Ok,true,false,,0,,0,false,false,false,false,false,,
06130020.JPG,,SC10_JulAug2021,13-Jun-2021,12:33:40,Ok,true,false,,0,,0,false,false,false,false,false,,
06130021.JPG,,SC10_JulAug2021,13-Jun-2021,12:46:59,Ok,true,false,,0,,0,false,false,false,false,false,,
06130022.JPG,,SC10_JulAug2021,13-Jun-2021,13:02:54,Ok,true,false,,0,,0,false,false,false,false,false,,
06130023.JPG,,SC10_JulAug2021,13-Jun-2021,13:14:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06130024.JPG,,SC10_JulAug2021,13-Jun-2021,13:20:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06130025.JPG,,SC10_JulAug2021,13-Jun-2021,13:21:29,Ok,true,false,,0,,0,false,false,false,false,false,,
06130026.JPG,,SC10_JulAug2021,13-Jun-2021,13:26:06,Ok,true,false,,0,,0,false,false,false,false,false,,
06130027.JPG,,SC10_JulAug2021,13-Jun-2021,13:27:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06130028.JPG,,SC10_JulAug2021,13-Jun-2021,13:33:34,Ok,true,false,,0,,0,false,false,false,false,false,,
06130029.JPG,,SC10_JulAug2021,13-Jun-2021,13:39:56,Ok,true,false,,0,,0,false,false,false,false,false,,
06130030.JPG,,SC10_JulAug2021,13-Jun-2021,13:43:02,Ok,true,false,,0,,0,false,false,false,false,false,,
06130031.JPG,,SC10_JulAug2021,13-Jun-2021,13:44:35,Ok,true,false,,0,,0,false,false,false,false,false,,
06130032.JPG,,SC10_JulAug2021,13-Jun-2021,13:46:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06130033.JPG,,SC10_JulAug2021,13-Jun-2021,13:49:27,Ok,true,false,,0,,0,false,false,false,false,false,,
06130034.JPG,,SC10_JulAug2021,13-Jun-2021,13:50:32,Ok,true,false,,0,,0,false,false,false,false,false,,
06130035.JPG,,SC10_JulAug2021,13-Jun-2021,13:52:59,Ok,true,false,,0,,0,false,false,false,false,false,,
06130036.JPG,,SC10_JulAug2021,13-Jun-2021,13:54:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06130037.JPG,,SC10_JulAug2021,13-Jun-2021,13:56:21,Ok,true,false,,0,,0,false,false,false,false,false,,
06130038.JPG,,SC10_JulAug2021,13-Jun-2021,13:57:28,Ok,true,false,,0,,0,false,false,false,false,false,,
06130039.JPG,,SC10_JulAug2021,13-Jun-2021,13:59:13,Ok,true,false,,0,,0,false,false,false,false,false,,
06130040.JPG,,SC10_JulAug2021,13-Jun-2021,14:05:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06130041.JPG,,SC10_JulAug2021,13-Jun-2021,14:07:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06130042.JPG,,SC10_JulAug2021,13-Jun-2021,14:09:56,Ok,true,false,,0,,0,false,false,false,false,false,,
06130043.JPG,,SC10_JulAug2021,13-Jun-2021,14:11:54,Ok,true,false,,0,,0,false,false,false,false,false,,
06130044.JPG,,SC10_JulAug2021,13-Jun-2021,14:13:22,Ok,true,false,,0,,0,false,false,false,false,false,,
06130045.JPG,,SC10_JulAug2021,13-Jun-2021,14:18:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06130046.JPG,,SC10_JulAug2021,13-Jun-2021,14:22:43,Ok,true,false,,0,,0,false,false,false,false,false,,
06130047.JPG,,SC10_JulAug2021,13-Jun-2021,14:26:18,Ok,true,false,,0,,0,false,false,false,false,false,,
06130048.JPG,,SC10_JulAug2021,13-Jun-2021,14:28:42,Ok,true,false,,0,,0,false,false,false,false,false,,
06130049.JPG,,SC10_JulAug2021,13-Jun-2021,14:31:48,Ok,true,false,,0,,0,false,false,false,false,false,,
06130050.JPG,,SC10_JulAug2021,13-Jun-2021,14:39:37,Ok,true,false,,0,,0,false,false,false,false,false,,
06130051.JPG,,SC10_JulAug2021,13-Jun-2021,14:41:00,Ok,true,false,,0,,0,false,false,false,false,false,,
06130052.JPG,,SC10_JulAug2021,13-Jun-2021,14:48:16,Ok,true,false,,0,,0,false,false,false,false,false,,
06130053.JPG,,SC10_JulAug2021,13-Jun-2021,14:50:02,Ok,true,false,,0,,0,false,false,false,false,false,,
06130054.JPG,,SC10_JulAug2021,13-Jun-2021,14:58:18,Ok,true,false,,0,,0,false,false,false,false,false,,
06130055.JPG,,SC10_JulAug2021,13-Jun-2021,15:00:21,Ok,true,false,,0,,0,false,false,false,false,false,,
06130056.JPG,,SC10_JulAug2021,13-Jun-2021,15:02:25,Ok,true,false,,0,,0,false,false,false,false,false,,
06130057.JPG,,SC10_JulAug2021,13-Jun-2021,15:04:01,Ok,true,false,,0,,0,false,false,false,false,false,,
06130058.JPG,,SC10_JulAug2021,13-Jun-2021,15:13:46,Ok,true,false,,0,,0,false,false,false,false,false,,
06130059.JPG,,SC10_JulAug2021,13-Jun-2021,15:22:14,Ok,true,false,,0,,0,false,false,false,false,false,,
06130060.JPG,,SC10_JulAug2021,13-Jun-2021,15:25:01,Ok,true,false,,0,,0,false,false,false,false,false,,
06130061.JPG,,SC10_JulAug2021,13-Jun-2021,15:28:34,Ok,true,false,,0,,0,false,false,false,false,false,,
06130062.JPG,,SC10_JulAug2021,13-Jun-2021,15:32:40,Ok,true,false,,0,,0,false,false,false,false,false,,
06130063.JPG,,SC10_JulAug2021,13-Jun-2021,15:36:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06130064.JPG,,SC10_JulAug2021,13-Jun-2021,15:43:29,Ok,true,false,,0,,0,false,false,false,false,false,,
06130065.JPG,,SC10_JulAug2021,13-Jun-2021,15:44:55,Ok,true,false,,0,,0,false,false,false,false,false,,
06130066.JPG,,SC10_JulAug2021,13-Jun-2021,15:46:08,Ok,true,false,,0,,0,false,false,false,false,false,,
06130067.JPG,,SC10_JulAug2021,13-Jun-2021,15:48:26,Ok,true,false,,0,,0,false,false,false,false,false,,
06130068.JPG,,SC10_JulAug2021,13-Jun-2021,15:49:35,Ok,true,false,,0,,0,false,false,false,false,false,,
06130069.JPG,,SC10_JulAug2021,13-Jun-2021,15:51:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06130070.JPG,,SC10_JulAug2021,13-Jun-2021,15:53:13,Ok,true,false,,0,,0,false,false,false,false,false,,
06130071.JPG,,SC10_JulAug2021,13-Jun-2021,15:54:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06130072.JPG,,SC10_JulAug2021,13-Jun-2021,15:56:18,Ok,true,false,,0,,0,false,false,false,false,false,,
06130073.JPG,,SC10_JulAug2021,13-Jun-2021,15:57:26,Ok,true,false,,0,,0,false,false,false,false,false,,
06130074.JPG,,SC10_JulAug2021,13-Jun-2021,15:58:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06130075.JPG,,SC10_JulAug2021,13-Jun-2021,16:00:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06130076.JPG,,SC10_JulAug2021,13-Jun-2021,16:05:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06130077.JPG,,SC10_JulAug2021,13-Jun-2021,16:08:59,Ok,true,false,,0,,0,false,false,false,false,false,,
06130078.JPG,,SC10_JulAug2021,13-Jun-2021,16:10:07,Ok,true,false,,0,,0,false,false,false,false,false,,
06130079.JPG,,SC10_JulAug2021,13-Jun-2021,16:12:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06130080.JPG,,SC10_JulAug2021,13-Jun-2021,16:14:18,Ok,true,false,,0,,0,false,false,false,false,false,,
06130081.JPG,,SC10_JulAug2021,13-Jun-2021,16:24:08,Ok,true,false,,0,,0,false,false,false,false,false,,
06130082.JPG,,SC10_JulAug2021,13-Jun-2021,16:26:29,Ok,true,false,,0,,0,false,false,false,false,false,,
06130083.JPG,,SC10_JulAug2021,13-Jun-2021,16:29:27,Ok,true,false,,0,,0,false,false,false,false,false,,
06130084.JPG,,SC10_JulAug2021,13-Jun-2021,16:31:39,Ok,true,false,,0,,0,false,false,false,false,false,,
06130085.JPG,,SC10_JulAug2021,13-Jun-2021,16:47:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06130086.JPG,,SC10_JulAug2021,13-Jun-2021,16:56:02,Ok,true,false,,0,,0,false,false,false,false,false,,
06130087.JPG,,SC10_JulAug2021,13-Jun-2021,16:58:06,Ok,true,false,,0,,0,false,false,false,false,false,,
06130088.JPG,,SC10_JulAug2021,13-Jun-2021,17:05:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06130089.JPG,,SC10_JulAug2021,13-Jun-2021,17:10:01,Ok,true,false,,0,,0,false,false,false,false,false,,
06140090.JPG,,SC10_JulAug2021,14-Jun-2021,11:16:08,Ok,true,false,,0,,0,false,false,false,false,false,,
06140091.JPG,,SC10_JulAug2021,14-Jun-2021,11:25:47,Ok,true,false,,0,,0,false,false,false,false,false,,
06140092.JPG,,SC10_JulAug2021,14-Jun-2021,11:31:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06140093.JPG,,SC10_JulAug2021,14-Jun-2021,11:36:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06140094.JPG,,SC10_JulAug2021,14-Jun-2021,11:38:23,Ok,true,false,,0,,0,false,false,false,false,false,,
06140095.JPG,,SC10_JulAug2021,14-Jun-2021,11:47:34,Ok,true,false,,0,,0,false,false,false,false,false,,
06140096.JPG,,SC10_JulAug2021,14-Jun-2021,11:49:09,Ok,true,false,,0,,0,false,false,false,false,false,,
06140097.JPG,,SC10_JulAug2021,14-Jun-2021,11:52:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06140098.JPG,,SC10_JulAug2021,14-Jun-2021,12:01:43,Ok,true,false,,0,,0,false,false,false,false,false,,
06140099.JPG,,SC10_JulAug2021,14-Jun-2021,12:13:45,Ok,true,false,,0,,0,false,false,false,false,false,,
06140100.JPG,,SC10_JulAug2021,14-Jun-2021,12:15:37,Ok,true,false,,0,,0,false,false,false,false,false,,
06140101.JPG,,SC10_JulAug2021,14-Jun-2021,12:25:06,Ok,true,false,,0,,0,false,false,false,false,false,,
06140102.JPG,,SC10_JulAug2021,14-Jun-2021,13:19:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06140103.JPG,,SC10_JulAug2021,14-Jun-2021,13:25:32,Ok,true,false,,0,,0,false,false,false,false,false,,
06140104.JPG,,SC10_JulAug2021,14-Jun-2021,13:30:57,Ok,true,false,,0,,0,false,false,false,false,false,,
06140105.JPG,,SC10_JulAug2021,14-Jun-2021,13:32:03,Ok,true,false,,0,,0,false,false,false,false,false,,
06140106.JPG,,SC10_JulAug2021,14-Jun-2021,13:33:38,Ok,true,false,,0,,0,false,false,false,false,false,,
06140107.JPG,,SC10_JulAug2021,14-Jun-2021,13:35:07,Ok,true,false,,0,,0,false,false,false,false,false,,
06140108.JPG,,SC10_JulAug2021,14-Jun-2021,13:43:11,Ok,true,false,,0,,0,false,false,false,false,false,,
06140109.JPG,,SC10_JulAug2021,14-Jun-2021,13:51:34,Ok,true,false,,0,,0,false,false,false,false,false,,
06140110.JPG,,SC10_JulAug2021,14-Jun-2021,14:05:25,Ok,true,false,,0,,0,false,false,false,false,false,,
06140111.JPG,,SC10_JulAug2021,14-Jun-2021,14:08:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06140112.JPG,,SC10_JulAug2021,14-Jun-2021,14:22:56,Ok,true,false,,0,,0,false,false,false,false,false,,
06140113.JPG,,SC10_JulAug2021,14-Jun-2021,14:24:58,Ok,true,false,,0,,0,false,false,false,false,false,,
06140114.JPG,,SC10_JulAug2021,14-Jun-2021,14:31:08,Ok,true,false,,0,,0,false,false,false,false,false,,
06140115.JPG,,SC10_JulAug2021,14-Jun-2021,14:33:04,Ok,true,false,,0,,0,false,false,false,false,false,,
06140116.JPG,,SC10_JulAug2021,14-Jun-2021,14:35:49,Ok,true,false,,0,,0,false,false,false,false,false,,
06140117.JPG,,SC10_JulAug2021,14-Jun-2021,14:44:23,Ok,true,false,,0,,0,false,false,false,false,false,,
06140118.JPG,,SC10_JulAug2021,14-Jun-2021,14:46:52,Ok,true,false,,0,,0,false,false,false,false,false,,
06140119.JPG,,SC10_JulAug2021,14-Jun-2021,14:48:42,Ok,true,false,,0,,0,false,false,false,false,false,,
06140120.JPG,,SC10_JulAug2021,14-Jun-2021,14:50:32,Ok,true,false,,0,,0,false,false,false,false,false,,
06140121.JPG,,SC10_JulAug2021,14-Jun-2021,14:56:31,Ok,true,false,,0,,0,false,false,false,false,false,,
06140122.JPG,,SC10_JulAug2021,14-Jun-2021,14:59:34,Ok,true,false,,0,,0,false,false,false,false,false,,
06140123.JPG,,SC10_JulAug2021,14-Jun-2021,15:01:11,Ok,true,false,,0,,0,false,false,false,false,false,,
06140124.JPG,,SC10_JulAug2021,14-Jun-2021,15:10:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06140125.JPG,,SC10_JulAug2021,14-Jun-2021,15:14:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06140126.JPG,,SC10_JulAug2021,14-Jun-2021,15:17:22,Ok,true,false,,0,,0,false,false,false,false,false,,
06140127.JPG,,SC10_JulAug2021,14-Jun-2021,15:18:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06140128.JPG,,SC10_JulAug2021,14-Jun-2021,15:24:00,Ok,true,false,,0,,0,false,false,false,false,false,,
06140129.JPG,,SC10_JulAug2021,14-Jun-2021,15:28:28,Ok,true,false,,0,,0,false,false,false,false,false,,
06140130.JPG,,SC10_JulAug2021,14-Jun-2021,15:34:09,Ok,true,false,,0,,0,false,false,false,false,false,,
06140131.JPG,,SC10_JulAug2021,14-Jun-2021,15:36:52,Ok,true,false,,0,,0,false,false,false,false,false,,
06140132.JPG,,SC10_JulAug2021,14-Jun-2021,15:38:18,Ok,true,false,,0,,0,false,false,false,false,false,,
06140133.JPG,,SC10_JulAug2021,14-Jun-2021,15:42:41,Ok,true,false,,0,,0,false,false,false,false,false,,
06140134.JPG,,SC10_JulAug2021,14-Jun-2021,15:45:29,Ok,true,false,,0,,0,false,false,false,false,false,,
06140135.JPG,,SC10_JulAug2021,14-Jun-2021,15:54:11,Ok,true,false,,0,,0,false,false,false,false,false,,
06140136.JPG,,SC10_JulAug2021,14-Jun-2021,15:56:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06140137.JPG,,SC10_JulAug2021,14-Jun-2021,15:59:25,Ok,true,false,,0,,0,false,false,false,false,false,,
06140138.JPG,,SC10_JulAug2021,14-Jun-2021,16:00:36,Ok,true,false,,0,,0,false,false,false,false,false,,
06140139.JPG,,SC10_JulAug2021,14-Jun-2021,16:02:20,Ok,true,false,,0,,0,false,false,false,false,false,,
06140140.JPG,,SC10_JulAug2021,14-Jun-2021,16:06:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06140141.JPG,,SC10_JulAug2021,14-Jun-2021,16:07:16,Ok,true,false,,0,,0,false,false,false,false,false,,
06140142.JPG,,SC10_JulAug2021,14-Jun-2021,16:09:07,Ok,true,false,,0,,0,false,false,false,false,false,,
06140143.JPG,,SC10_JulAug2021,14-Jun-2021,16:10:31,Ok,true,false,,0,,0,false,false,false,false,false,,
06140144.JPG,,SC10_JulAug2021,14-Jun-2021,16:12:43,Ok,true,false,,0,,0,false,false,false,false,false,,
06140145.JPG,,SC10_JulAug2021,14-Jun-2021,16:15:41,Ok,true,false,,0,,0,false,false,false,false,false,,
06140146.JPG,,SC10_JulAug2021,14-Jun-2021,16:18:59,Ok,true,false,,0,,0,false,false,false,false,false,,
06140147.JPG,,SC10_JulAug2021,14-Jun-2021,16:28:31,Ok,true,false,,0,,0,false,false,false,false,false,,
06140148.JPG,,SC10_JulAug2021,14-Jun-2021,16:31:32,Ok,true,false,,0,,0,false,false,false,false,false,,
06140149.JPG,,SC10_JulAug2021,14-Jun-2021,16:47:20,Ok,true,false,,0,,0,false,false,false,false,false,,
06140150.JPG,,SC10_JulAug2021,14-Jun-2021,16:49:12,Ok,true,false,,0,,0,false,false,false,false,false,,
06140151.JPG,,SC10_JulAug2021,14-Jun-2021,16:59:53,Ok,true,false,,0,,0,false,false,false,false,false,,
06150152.JPG,,SC10_JulAug2021,15-Jun-2021,06:24:46,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
06150153.JPG,,SC10_JulAug2021,15-Jun-2021,06:25:59,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
06150154.JPG,,SC10_JulAug2021,15-Jun-2021,08:03:28,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
06150155.JPG,,SC10_JulAug2021,15-Jun-2021,08:32:01,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
06150156.JPG,,SC10_JulAug2021,15-Jun-2021,11:52:32,Ok,true,false,,0,,0,false,false,false,false,false,,
06150157.JPG,,SC10_JulAug2021,15-Jun-2021,13:48:36,Ok,true,false,,0,,0,false,false,false,false,false,,
06150158.JPG,,SC10_JulAug2021,15-Jun-2021,13:53:52,Ok,true,false,,0,,0,false,false,false,false,false,,
06150159.JPG,,SC10_JulAug2021,15-Jun-2021,13:55:38,Ok,true,false,,0,,0,false,false,false,false,false,,
06150160.JPG,,SC10_JulAug2021,15-Jun-2021,13:57:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06150161.JPG,,SC10_JulAug2021,15-Jun-2021,14:00:58,Ok,true,false,,0,,0,false,false,false,false,false,,
06150162.JPG,,SC10_JulAug2021,15-Jun-2021,14:10:17,Ok,true,false,,0,,0,false,false,false,false,false,,
06150163.JPG,,SC10_JulAug2021,15-Jun-2021,14:36:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06150164.JPG,,SC10_JulAug2021,15-Jun-2021,14:50:31,Ok,true,false,,0,,0,false,false,false,false,false,,
06150165.JPG,,SC10_JulAug2021,15-Jun-2021,15:16:14,Ok,true,false,,0,,0,false,false,false,false,false,,
06150166.JPG,,SC10_JulAug2021,15-Jun-2021,16:07:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06150167.JPG,,SC10_JulAug2021,15-Jun-2021,17:28:09,Ok,true,false,,0,,0,false,false,false,false,false,,
06160168.JPG,,SC10_JulAug2021,16-Jun-2021,11:39:27,Ok,true,false,,0,,0,false,false,false,false,false,,
06160169.JPG,,SC10_JulAug2021,16-Jun-2021,11:45:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06160170.JPG,,SC10_JulAug2021,16-Jun-2021,11:47:41,Ok,true,false,,0,,0,false,false,false,false,false,,
06160171.JPG,,SC10_JulAug2021,16-Jun-2021,11:54:54,Ok,true,false,,0,,0,false,false,false,false,false,,
06160172.JPG,,SC10_JulAug2021,16-Jun-2021,12:03:05,Ok,true,false,,0,,0,false,false,false,false,false,,
06160173.JPG,,SC10_JulAug2021,16-Jun-2021,12:29:57,Ok,true,false,,0,,0,false,false,false,false,false,,
06160174.JPG,,SC10_JulAug2021,16-Jun-2021,12:55:02,Ok,true,false,,0,,0,false,false,false,false,false,,
06160175.JPG,,SC10_JulAug2021,16-Jun-2021,13:43:21,Ok,true,false,,0,,0,false,false,false,false,false,,
06160176.JPG,,SC10_JulAug2021,16-Jun-2021,13:44:52,Ok,true,false,,0,,0,false,false,false,false,false,,
06160177.JPG,,SC10_JulAug2021,16-Jun-2021,13:46:10,Ok,true,false,,0,,0,false,false,false,false,false,,
06160178.JPG,,SC10_JulAug2021,16-Jun-2021,13:49:49,Ok,true,false,,0,,0,false,false,false,false,false,,
06160179.JPG,,SC10_JulAug2021,16-Jun-2021,13:53:03,Ok,true,false,,0,,0,false,false,false,false,false,,
06160180.JPG,,SC10_JulAug2021,16-Jun-2021,14:02:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06160181.JPG,,SC10_JulAug2021,16-Jun-2021,14:06:24,Ok,true,false,,0,,0,false,false,false,false,false,,
06160182.JPG,,SC10_JulAug2021,16-Jun-2021,14:08:07,Ok,true,false,,0,,0,false,false,false,false,false,,
06160183.JPG,,SC10_JulAug2021,16-Jun-2021,14:09:16,Ok,true,false,,0,,0,false,false,false,false,false,,
06160184.JPG,,SC10_JulAug2021,16-Jun-2021,14:10:48,Ok,true,false,,0,,0,false,false,false,false,false,,
06160185.JPG,,SC10_JulAug2021,16-Jun-2021,14:12:26,Ok,true,false,,0,,0,false,false,false,false,false,,
06160186.JPG,,SC10_JulAug2021,16-Jun-2021,14:14:43,Ok,true,false,,0,,0,false,false,false,false,false,,
06160187.JPG,,SC10_JulAug2021,16-Jun-2021,14:15:45,Ok,true,false,,0,,0,false,false,false,false,false,,
06160188.JPG,,SC10_JulAug2021,16-Jun-2021,14:20:22,Ok,true,false,,0,,0,false,false,false,false,false,,
06160189.JPG,,SC10_JulAug2021,16-Jun-2021,14:21:55,Ok,true,false,,0,,0,false,false,false,false,false,,
06160190.JPG,,SC10_JulAug2021,16-Jun-2021,14:29:11,Ok,true,false,,0,,0,false,false,false,false,false,,
06160191.JPG,,SC10_JulAug2021,16-Jun-2021,14:32:10,Ok,true,false,,0,,0,false,false,false,false,false,,
06160192.JPG,,SC10_JulAug2021,16-Jun-2021,14:39:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06160193.JPG,,SC10_JulAug2021,16-Jun-2021,15:05:51,Ok,true,false,,0,,0,false,false,false,false,false,,
06160194.JPG,,SC10_JulAug2021,16-Jun-2021,15:20:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06170195.JPG,,SC10_JulAug2021,17-Jun-2021,07:18:37,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
06170196.JPG,,SC10_JulAug2021,17-Jun-2021,10:28:11,Ok,true,false,,0,,0,false,false,false,false,false,,
06170197.JPG,,SC10_JulAug2021,17-Jun-2021,11:16:41,Ok,true,false,,0,,0,false,false,false,false,false,,
06170198.JPG,,SC10_JulAug2021,17-Jun-2021,11:18:00,Ok,true,false,,0,,0,false,false,false,false,false,,
06170199.JPG,,SC10_JulAug2021,17-Jun-2021,11:24:01,Ok,true,false,,0,,0,false,false,false,false,false,,
06170200.JPG,,SC10_JulAug2021,17-Jun-2021,11:26:33,Ok,true,false,,0,,0,false,false,false,false,false,,
06170201.JPG,,SC10_JulAug2021,17-Jun-2021,11:30:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06170202.JPG,,SC10_JulAug2021,17-Jun-2021,11:36:59,Ok,true,false,,0,,0,false,false,false,false,false,,
06170203.JPG,,SC10_JulAug2021,17-Jun-2021,11:38:10,Ok,true,false,,0,,0,false,false,false,false,false,,
06170204.JPG,,SC10_JulAug2021,17-Jun-2021,11:40:07,Ok,true,false,,0,,0,false,false,false,false,false,,
06170205.JPG,,SC10_JulAug2021,17-Jun-2021,11:41:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06170206.JPG,,SC10_JulAug2021,17-Jun-2021,11:42:49,Ok,true,false,,0,,0,false,false,false,false,false,,
06170207.JPG,,SC10_JulAug2021,17-Jun-2021,11:44:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06170208.JPG,,SC10_JulAug2021,17-Jun-2021,11:45:22,Ok,true,false,,0,,0,false,false,false,false,false,,
06170209.JPG,,SC10_JulAug2021,17-Jun-2021,11:46:21,Ok,true,false,,0,,0,false,false,false,false,false,,
06170210.JPG,,SC10_JulAug2021,17-Jun-2021,11:47:24,Ok,true,false,,0,,0,false,false,false,false,false,,
06170211.JPG,,SC10_JulAug2021,17-Jun-2021,11:48:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06170212.JPG,,SC10_JulAug2021,17-Jun-2021,11:50:55,Ok,true,false,,0,,0,false,false,false,false,false,,
06170213.JPG,,SC10_JulAug2021,17-Jun-2021,12:20:19,Ok,true,false,,0,,0,false,false,false,false,false,,
06170214.JPG,,SC10_JulAug2021,17-Jun-2021,13:02:26,Ok,true,false,,0,,0,false,false,false,false,false,,
06170215.JPG,,SC10_JulAug2021,17-Jun-2021,13:47:27,Ok,true,false,,0,,0,false,false,false,false,false,,
06170216.JPG,,SC10_JulAug2021,17-Jun-2021,13:55:16,Ok,true,false,,0,,0,false,false,false,false,false,,
06170217.JPG,,SC10_JulAug2021,17-Jun-2021,14:02:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06170218.JPG,,SC10_JulAug2021,17-Jun-2021,14:05:53,Ok,true,false,,0,,0,false,false,false,false,false,,
06170219.JPG,,SC10_JulAug2021,17-Jun-2021,14:10:13,Ok,true,false,,0,,0,false,false,false,false,false,,
06170220.JPG,,SC10_JulAug2021,17-Jun-2021,14:12:50,Ok,true,false,,0,,0,false,false,false,false,false,,
06170221.JPG,,SC10_JulAug2021,17-Jun-2021,14:13:56,Ok,true,false,,0,,0,false,false,false,false,false,,
06170222.JPG,,SC10_JulAug2021,17-Jun-2021,14:15:40,Ok,true,false,,0,,0,false,false,false,false,false,,
06170223.JPG,,SC10_JulAug2021,17-Jun-2021,14:27:42,Ok,true,false,,0,,0,false,false,false,false,false,,
06170224.JPG,,SC10_JulAug2021,17-Jun-2021,14:28:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06170225.JPG,,SC10_JulAug2021,17-Jun-2021,14:30:03,Ok,true,false,,0,,0,false,false,false,false,false,,
06170226.JPG,,SC10_JulAug2021,17-Jun-2021,14:51:56,Ok,true,false,,0,,0,false,false,false,false,false,,
06170227.JPG,,SC10_JulAug2021,17-Jun-2021,14:54:21,Ok,true,false,,0,,0,false,false,false,false,false,,
